,mean,mean_se,mean_ci_lower,mean_ci_upper
2026-01-11,4.702134334883494,27.95129564707441,-50.081398454613534,59.48566712438053
2026-01-18,5.235309327658668,28.260843059629114,-50.154925241953144,60.62554389727048
2026-01-25,5.921099678667629,28.30435929301845,-49.55442514113012,61.39662449846538
2026-02-01,6.244926275481982,28.33347296132666,-49.28766028565771,61.77751283662167
2026-02-08,7.39295410095319,28.361162655350675,-48.1939032632165,62.97981146512288
2026-02-15,6.725796990004931,28.38867499592108,-48.91498357081315,62.36657755082301
2026-02-22,5.301828865972514,28.416144286281757,-50.39279051463336,60.996448246578396
2026-03-01,5.659858203748611,28.443585254100693,-50.08854448548331,61.408260892980536
2026-03-08,5.301829897743894,28.470999577569845,-50.500303878148095,61.10396367363588
2026-03-15,5.366925983024564,28.49838750810752,-50.48888715033235,61.22273911638148
2026-03-22,5.513392151063575,28.52574914081584,-50.39604879695986,61.422833099087015
2026-03-29,11.119791536697047,28.553084553382533,-44.84322583545965,67.08280890885375
